"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"2287",13783,NA,"Chautauqua","NY",42.23672,-79.19946,"NAD83",4362,0,4358,2025,"ft",102,0,NA,38.89,1328.32,1328.32,617.22,"NAD83",648565.18,4677628.01,42.887337,"NY2289","31013154100000",-79.19946,42.23672,TRUE
"2288",13784,NA,"Chautauqua","NY",42.22647,-79.20341,"NAD83",4355,0,4315,0,"ft",102,0,NA,38.89,1315.21,1315.21,0,"NAD83",648263.25,4676482.99,42.787979,"NY2290","31013154110000",-79.20341,42.22647,TRUE
"2289",13785,NA,"Chautauqua","NY",42.24318,-79.20305,"NAD83",4360,0,4356,2031,"ft",102,0,NA,38.89,1327.71,1327.71,619.05,"NAD83",648253.83,4678339.07,42.882688,"NY2291","31013154120000",-79.20305,42.24318,TRUE
"2290",13786,NA,"Chautauqua","NY",42.22022,-79.21947,"NAD83",4224,0,4243,1817,"ft",100,0,NA,37.78,1293.27,1293.27,553.82,"NAD83",646952.36,4675761.18,41.514371,"NY2292","31013154130000",-79.21947,42.22022,TRUE
"2291",13787,NA,"Chautauqua","NY",42.22374,-79.22418,"NAD83",4176,0,4180,1760,"ft",103,0,NA,39.44,1274.06,1274.06,536.45,"NAD83",646555.47,4676143.93,43.033899,"NY2293","31013154140000",-79.22418,42.22374,TRUE
"2292",13788,NA,"Chautauqua","NY",42.20592,-79.21339,"NAD83",4176,0,4176,1730,"ft",112,0,NA,44.44,1272.84,1272.84,527.3,"NAD83",647487.45,4674183.83,48.025066,"NY2294","31013154150000",-79.21339,42.20592,TRUE
"2293",13789,NA,"Chautauqua","NY",42.22042,-79.23001,"NAD83",4110,0,4125,1695,"ft",102,0,NA,38.89,1257.3,1257.3,516.64,"NAD83",646081.97,4675765.27,42.363486,"NY2295","31013154160000",-79.23001,42.22042,TRUE
"2294",13790,NA,"Chautauqua","NY",42.21997,-79.20322,"NAD83",4283,0,4264,1852,"ft",100,0,NA,37.78,1299.67,1299.67,564.49,"NAD83",648294.14,4675761.57,41.561749,"NY2296","31013154170000",-79.20322,42.21997,TRUE
"2295",13791,NA,"Chautauqua","NY",42.20523,-79.22658,"NAD83",4200,0,4012,1598,"ft",99,0,NA,37.22,1222.86,1222.86,487.07,"NAD83",646400.16,4674084.48,40.452405,"NY2297","31013154180000",-79.22658,42.20523,TRUE
"2296",13792,NA,"Chautauqua","NY",42.23823,-79.25487,"NAD83",3806,0,3752.5,1514,"ft",96,0,NA,35.56,1143.76,1143.76,461.47,"NAD83",643989.66,4677700.56,38.271816,"NY2298","31013154190000",-79.25487,42.23823,TRUE
"2297",13793,NA,"Chautauqua","NY",42.23809,-79.2633,"NAD83",3698,0,3690,1355,"ft",94,0,NA,34.44,1124.71,1124.71,413,"NAD83",643294.4,4677670.8,37.033477,"NY2299","31013154200000",-79.2633,42.23809,TRUE
"2298",13794,NA,"Chautauqua","NY",42.04937,-79.17381,"NAD83",432,0,930.9,1241,"ft",55,0,NA,12.78,283.74,283.74,378.26,"NAD83",651126.71,4656870.21,12.827646,"NY2300","31013154390000",-79.17381,42.04937,TRUE
"2299",13795,NA,"Chautauqua","NY",42.23325,-79.51567,"NAD83",3625,0,3624,1500,"ft",98,0,NA,36.67,1104.6,1104.6,457.2,"NAD83",622480.37,4676739.81,39.141564,"NY2301","31013154460000",-79.51567,42.23325,TRUE
